SOMA	Label	Weight
1	cross section	0.000865052
1	experimental data	0.020408163
1	heavy ion collision	0.25
1	central collision	0.25
1	angular distribution	0.25
1	coulomb barrier	1
1	nuclear matter	0.111111111
1	transverse momentum	0.00591716
1	elastic scattering	1
1	hadron collider	0.111111111
1	channel calculation	1
1	excited state	0.001890359
1	mass energy	0.111111111
1	optical potential	0.25
1	quark matter	0.25
1	theoretical calculation	0.111111111
1	azimuthal correlation	1
1	differential cross section	0.25
1	quark gluon plasma	0.25
1	centrality dependence	1
1	particle correlation	1
1	pp collision	0.111111111
1	barrier energ	1
1	coupling model	1
1	low energy	0.00390625
1	collision energy	1
1	excitation energy	0.111111111
1	energy dependence	0.25
1	binding energy	0.111111111
1	model calculation	0.111111111
1	wide range	0.25
1	ground state	0.00127551
1	experimental result	0.020408163
1	quark meson	1
1	theoretical model	0.027777778
1	neutron star	1
1	angular correlation	0.25
1	peripheral collision	1
1	bombarding energ	1
1	energy loss	0.0625
1	nonlinear walecka model	1
1	nucleus collision	0.25
1	beam energy	0.111111111
1	incident energy	1
1	hadronic matter	0.25
1	hydrodynamic model	0.25
1	particle multiplicity	0.25
1	particle production	0.25
1	phase transition	0.0016
1	symmetry energy	1
1	shell model calculation	1
1	nuclear densit	1
1	heavy ion	0.111111111
1	bag model	0.25
1	coupling constant	0.25
1	low density	0.015625
1	incomplete fusion	1
1	sub barrier energ	1
1	mean field model	0.0625
1	breakup channel	1
1	experimental value	0.04
1	complete fusion	1
1	vector meson	1
1	different model	0.020408163
1	phenomenological model	0.04
1	transverse momenta	0.111111111
1	reaction channel calculation	1
1	transverse momentum range	0.25
1	angular momentum	0.25
1	correlation function	0.00591716
1	nuclear effect	0.25
1	intermediate energ	1
1	nuclear potential	1
1	initial state	0.027777778
1	isomeric state	1
1	total cross section	0.25
1	statistical multifragmentation model	1
1	total reaction cross section	1
1	liquid gas phase transition	1
1	reaction channel	1
1	coupling effect	0.25
1	hadronic phase	0.25
1	nuclear interaction	1
1	reaction mechanism	0.25
1	complete fusion suppression	1
1	neutron transfer reaction	1
1	dense medium	1
1	density dependence	0.25
1	effective interaction	0.25
1	transverse energy	0.0625
1	hadron production	0.25
1	heavy quark	0.0625
1	stellar matter	1
1	free parameter	0.04
1	bare potential	1
1	proton proton	0.027777778
1	present result	0.04
1	central event	1
1	binary collision	1
1	azimuthal distribution	1
1	rapidity distribution	1
1	effective mass	0.027777778
1	energy range	0.0625
1	experimental observable	1
1	wave function	0.04
1	nucleon pair	1
1	participating nucleon	1
1	particle pair	1
1	particle yield	1
1	pasta phase	1
1	folding potential	1
1	nuclear reaction	1
1	inelastic scattering	1
1	spin state	0.111111111
1	meson exchange model	1
1	linear sigma model	0.0625
1	total fusion cross section	1
1	nuclear collision	1
1	dense matter	0.25
1	heavy nuclei	1
1	model prediction	0.111111111
1	alpha particle	0.0625
1	particle ratio	1
1	final state	0.020408163
1	experimental cross section	0.25
1	fusion cross section	1
1	transverse momentum dependence	0.25
1	final state interaction	0.25
1	average transverse momentum	0.25
1	weak decay	0.25
1	temperature dependence	0.027777778
1	energy region	0.0625
1	strong interaction	0.111111111
1	maximum mass	1
1	relativistic model	0.25
1	momentum transfer	0.0625
1	neutron transfer	1
1	polarization potential	1
1	pseudorapidity range	1
1	direct reaction	1
1	total reaction	1
1	continuum state	1
1	quasielastic barrier distribution	1
1	heavy flavor decay	1
1	system size dependence	1
1	nucleon nucleon center	1
1	random phase approximation	0.25
1	fixed proton fraction	1
1	hydrodynamic calculation	1
1	pairing correlation	1
1	recent data	0.25
1	using data	0.0625
1	energy density	0.020408163
1	particle density	0.0625
1	rapidity dependence	1
1	distribution function	0.005102041
1	free energy	0.005102041
1	fusion process	0.25
1	fusion reaction	1
1	heavy target	1
1	ion collider	1
1	homogeneous matter	1
1	model parameter	0.027777778
1	optical model	0.25
1	shell model	1
1	walecka model	1
1	impact parameter	1
1	phase diagram	0.004444444
1	constituent quark	0.25
1	quark degrees	1
1	broad range	0.25
1	system size	0.0625
1	reaction cross section	1
1	nuclear matter density	1
1	transverse momentum distribution	0.25
1	nuclear matter effect	0.25
1	nucleon nucleon interaction	1
1	phi meson production	1
1	low transverse momentum	0.25
1	transverse momentum spectra	0.25
1	order phase transition	0.027777778
1	binary nucleon nucleon collision	1
1	angular range	1
1	barrier distribution	1
1	decay channel	0.027777778
1	inelastic channel	1
1	collision system	1
1	beta decay	0.25
1	baryon density	1
1	charge distribution	0.111111111
1	energy distribution	0.0625
1	experimental uncertaint	0.111111111
1	total fusion	1
1	hadron state	1
1	residual interaction	1
1	delta meson	1
1	rho meson	1
1	neutron configuration	1
1	neutron halo	1
1	neutron number	1
1	adjustable parameter	0.111111111
1	mixed phase	0.0625
1	kinematic range	1
1	large range	0.25
1	short range	0.027777778
1	reaction plane	1
1	numerical result	0.04
1	colliding system	1
1	fusion barrier distribution	1
1	hadronic decay channel	1
1	proton proton collision	0.04
1	point correlation function	0.25
1	quark meson coupling	1
1	nuclear gluon distribution	1
1	mean transverse momentum	1
1	elastic scattering analysis	1
1	sub barrier	1
1	centrality bin	1
1	linear correlation	0.25
1	continuum coupling	1
1	inelastic coupling	1
1	data set	0.0625
1	existing data	1
1	present data	0.111111111
1	hadron decay	0.111111111
1	semileptonic decay	0.25
1	saturation density	1
1	strong dependence	0.25
1	effective lagrangian	0.25
1	magnetic effect	0.0625
1	nonflow effect	1
1	static effect	1
1	energy spectra	0.111111111
1	low mass	0.25
1	mass frame	1
