SOMA	Label	Weight
1	magnetic field	0.00147929
1	electric field	0.020408163
1	plasma edge	1
1	experimental result	0.020408163
1	jet ilw	1
1	experimental data	0.015625
1	radial profile	1
1	plasma core	1
1	acoustic mode	1
1	plasma density	1
1	current density	0.111111111
1	electron density	0.111111111
1	tearing mode	1
1	experimental observation	0.04
1	current drive efficiency	1
1	plasma parameter	1
1	electron temperature	1
1	magnetic field line	0.25
1	rotating plasma	1
1	current drive	1
1	ion temperature gradient	1
1	dusty plasma	1
1	fast ion	1
1	alfven wave	1
1	beam injection	1
1	tokamak plasma	1
1	ion temperature	0.015625
1	radio frequency	1
1	dust particle	1
1	plasma column	1
1	fluid model	0.25
1	transport barrier	1
1	energetic particle	1
1	maxwellian distribution	0.111111111
1	ion acoustic wave	1
1	density profile	0.111111111
1	particle transport	1
1	turbulent transport	1
1	jet iter	1
1	scanning electron microscopy	0.111111111
1	plasma immersion ion implantation	1
1	plasma confinement	1
1	plasma current	1
1	analytical model	0.04
1	theoretical model	0.020408163
1	resonant mode	1
1	jet experiment	1
1	heat transport	1
1	geodesic effect	1
1	frequency range	0.25
1	low frequency	1
1	particle beam	1
1	heating power	1
1	pedestal temperature	1
1	jet discharge	1
1	monochromatic wave packet	1
1	toroidal mode number	1
1	burning plasma	1
1	magnetized plasma	1
1	plasma boundary	1
1	plasma heating	1
1	plasma operation	1
1	energetic ion	1
1	electron cyclotron	1
1	wave propagation	1
1	mode frequency	1
1	pedestal density	1
1	experimental measurement	0.04
1	thermal effect	0.0625
1	current ramp	1
1	fusion power	1
1	kappa distribution	1
1	internal kink mode	1
1	ion cyclotron resonance heating	1
1	jet plasma	1
1	plasma flows	1
1	plasma particle	1
1	electrostatic wave	1
1	experimental campaign	1
1	experimental condition	0.0625
1	electromagnetic effect	1
1	inertial effect	0.25
1	trapped particle	1
1	jet tokamak	1
1	icrh power	1
1	plasma edge turbulence	1
1	current density profile	1
1	internal transport barrier	1
1	low frequency band	1
1	background plasma	1
1	hydrogen plasma	1
1	plasma dynamic	1
1	plasma electron	1
1	plasma performance	1
1	plasma physics	1
1	plasma resistivity	1
1	plasma turbulence	1
1	unmagnetized plasma	1
1	electron mode	1
1	magnetosonic wave	1
1	kinetic model	0.111111111
1	linear model	0.111111111
1	numerical modeling	1
1	predictive model	1
1	mode amplitude	1
1	unstable mode	1
1	joint experiment	1
1	recent experiment	0.111111111
1	neoclassical transport	1
1	perpendicular transport	1
1	radial transport	1
1	current effect	1
1	effective charge	0.04
1	quantum effect	0.020408163
1	relativistic effect	0.111111111
1	stabilizing effect	1
1	velikhov effect	1
1	bootstrap current	1
1	current profile	1
1	electric current	1
1	turbulent jet	1
1	velocity distribution	0.25
1	toroidal plasma device	1
1	energetic ion tail	1
1	ion larmor radius	1
1	free electron laser	1
1	radio frequency wave	1
1	wave kinetic equation	1
1	low field side	1
1	harmonic langmuir mode	1
1	peeling ballooning mode	1
1	poloidal mode number	1
1	inelastic collision frequency	1
1	velocity distribution function	1
1	conducting plasma	1
1	d plasma	1
1	plasma ion	1
1	plasma potential	1
1	plasma pressure	1
1	plasma triangularity	1
1	plasma wave	1
1	total plasma	1
1	ion source	1
1	electron beam	0.25
1	electron distribution	1
1	electron flow	1
1	electromagnetic wave	1
1	wave instability	1
1	wave turbulence	1
1	electromagnetic field	0.020408163
1	collisional model	1
1	present model	0.04
1	simple model	0.027777778
1	localised mode	1
1	primary mode	1
1	averaged density	1
1	core density	1
1	experimental stud	0.04
1	experimental uncertainty	1
1	experimental value	0.04
1	numerical experiment	0.111111111
1	parallel transport	1
1	combined effect	0.04
1	curvature effect	1
1	drift effect	1
1	isotope effect	1
1	frequency oscillation	1
1	rotation frequency	1
1	current contribution	1
1	temperature profile	1
1	temperature anisotropy	1
1	jet operation	1
1	low power	0.25
1	power scans	1
1	radiated power	1
1	rf power	1
1	neutral beam	1
1	beam plasma interaction	1
1	electron plasma wave	1
1	jet ilw plasma	1
1	plasma core rotation	1
1	plasma edge region	1
1	plasma pressure gradient	1
1	turbulent plasma background	1
1	ion sound wave	1
1	electron distribution function	1
1	electron mode turbulence	1
1	runaway electron beam	1
1	trapped electron mode	1
1	low frequency wave	1
1	wave particle interaction	1
1	chaotic field line	1
1	parallel heat flux	1
1	injection beam energy	1
1	anisotropic kappa distribution	1
1	atmospheric pressure plasma jet	1
1	astrophysical plasma	1
1	collisionality plasma	1
1	deuterium plasma	1
1	fusion plasma	1
1	magnetoactive plasma	1
1	plasma beta	1
1	plasma center	1
1	plasma condition	1
1	plasma discharge	1
1	plasma emission	1
1	plasma environment	1
1	plasma laboratory	1
1	plasma periphery	1
1	plasma plume	1
1	plasma stream	1
1	plasma treatments	1
1	quantum plasma	1
1	beam ion	1
1	gas ionization	1
1	positive ion	1
1	electron heating	1
1	energetic electron	1
1	massless electron	1
1	runaway electron	1
1	drift wave	1
1	hybrid wave	1
1	langmuir wave	1
1	wave dissipation	1
1	wave envelope	1
1	wave interaction	1
1	wave packet	0.0625
1	radiation field	1
1	modelling simulation	1
1	pedestal model	1
1	principle modelling	1
1	transport model	0.111111111
1	validating model	1
1	electromagnetic mode	1
1	resolvent mode	1
1	density gradient	1
1	dust density	1
1	edge density	1
1	low density	0.04
1	mass density	1
1	number density	1
1	experimental evidence	0.04
1	experimental programmes	1
1	experimental validation	1
1	tokamak experiment	1
1	collisional transport	1
1	impurity transport	1
1	momentum transport	1
1	transport reduction	1
1	tungsten transport	1
1	w transport	1
1	collisional effect	1
1	destabilizing effect	1
1	radius effect	1
1	elm frequency	1
1	gam frequency	1
1	resonant frequency	1
1	alpha particle	0.111111111
1	particle acceleration	1
1	particle source	1
1	heat flux	1
1	asymmetric current	1
1	current diffusion	1
1	current fluctuation	1
1	spatial profile	1
1	burst temperature	1
1	low temperature	0.012345679
1	jet data	1
1	beam power	0.25
1	input power	1
1	power supply	1
1	deuterium beam	1
1	symmetric beam	1
1	poloidal distribution	1
1	electron plasma density	1
1	low density plasma	1
1	low plasma temperature	1
1	plasma rotation velocity	1
1	plasma wall interaction	1
1	fast ion confinement	1
1	fast ion distribution	1
1	fast ion stabilization	1
1	ion distribution function	1
1	ion heat transport	1
1	nitrogen ion implantation	1
1	cold electron beam	1
1	electron cyclotron emission	1
1	electron density profile	1
1	electron heat fluxe	1
1	electron inertia regime	1
1	electron landau damping	1
1	electron pressure anisotropy	1
1	electron temperature gradient	1
1	alfven wave continuum	1
1	global alfven wave	1
1	kinetic alfven wave	1
1	propagating electromagnetic wave	1
1	wave number space	1
1	field line transport	1
1	magnetic field perturbation	1
2	plasmas	0.05045
2	tokamak	0.034024
2	divertor	0.029722
2	turbulence	0.027376
2	elm	0.026398
2	discharges	0.026203
2	toroidal	0.02542
2	pedestal	0.024247
2	ilw	0.021705
2	drift	0.018968
2	alfven	0.018772
2	poloidal	0.018576
2	injection	0.01799
2	tokamaks	0.017208
2	discharge	0.016425
2	langmuir	0.015643
2	mhd	0.014079
2	deuterium	0.013101
2	instabilities	0.012906
2	cyclotron	0.012124
2	erosion	0.011928
2	elms	0.011732
2	islands	0.011732
2	 dust 	0.01095
2	icrh	0.00919
2	tungsten	0.00919
2	geodesic	0.008995
2	gyrokinetic	0.008799
2	neoclassical	0.008799
2	heating	0.022878
2	 iter 	0.036371
2	 arc 	0.012906
2	 drive 	0.011732
2	modelling	0.01095
2	island	0.010364
2	aspect	0.007822
2	disruption	0.007822
2	pellet	0.007626
2	ballooning	0.007431
2	maxwellian	0.007431
2	collisional	0.007235
2	implantation	0.007235
2	bootstrap	0.007039
