SOMA	Label	Weight
1	magnetic field	0.00127551
1	magnetic propert	0.111111111
1	low temperature	0.0625
1	electronic structure	0.04
1	experimental data	0.015625
1	electric field	0.020408163
1	phase diagram	0.01
1	quantum dot	0.111111111
1	functional theor	0.027777778
1	experimental result	0.020408163
1	room temperature	0.25
1	critical temperature	0.111111111
1	electronic propert	0.25
1	single crystal	0.25
1	ground state	0.002770083
1	temperature dependence	0.04
1	ray diffraction	1
1	critical point	0.04
1	principles calculation	0.25
1	phase transition	0.00147929
1	quantum well	0.25
1	binding energy	0.111111111
1	transport propert	0.04
1	square lattice	0.25
1	temperature range	0.111111111
1	critical exponent	0.25
1	magnetic order	1
1	quantum phase transition	0.25
1	magnetization measurement	1
1	heisenberg model	0.111111111
1	initio calculation	0.111111111
1	magnetocaloric effect	0.25
1	exchange interaction	0.111111111
1	magnetic behavior	1
1	optical propert	0.111111111
1	finite temperature	0.0625
1	structural propert	0.111111111
1	free energy	0.00591716
1	critical field	0.25
1	physical propert	0.04
1	numerical result	0.04
1	wide range	0.25
1	theoretical result	0.04
1	band gap	0.111111111
1	magnetic measurement	1
1	magnetic structure	1
1	magnetic interaction	0.0625
1	conduction electron	1
1	lattice parameter	1
1	theoretical model	0.020408163
1	quantum wire	1
1	dimensional system	0.04
1	thermodynamic propert	0.04
1	energy level	0.01
1	critical behavior	0.111111111
1	binding model	0.111111111
1	metal insulator transition	1
1	paramagnetic phase	0.25
1	mean field theor	0.25
1	external field	0.111111111
1	order phase transition	0.027777778
1	conduction band	1
1	electrical resistivity	1
1	local density	0.111111111
1	energy gap	0.0625
1	saturation magnetization	1
1	excited state	0.001890359
1	transition temperature	0.111111111
1	molecular dynamic simulation	0.111111111
1	electronic state	0.0625
1	critical value	0.0625
1	coulomb interaction	0.111111111
1	x ray diffraction	1
1	crystal structure	0.25
1	experimental observation	0.04
1	dipolar interaction	0.25
1	electron spin resonance	1
1	numerical calculation	0.111111111
1	ferromagnetic resonance	1
1	band structure	0.111111111
1	simple model	0.027777778
1	effective mass	0.0625
1	coercive field	1
1	superconducting state	0.25
1	mean field approximation	0.0625
1	single wall carbon nanotubes	1
1	order parameter	0.111111111
1	functional theor calculation	0.25
1	structural phase transition	0.25
1	energy spectrum	0.04
1	short range	0.027777778
1	magnetic state	0.25
1	dimensional electron gas	1
1	current density	0.027777778
1	order transition	0.111111111
1	ordering temperature	1
1	magnetic phase	0.0625
1	magnetic transition	1
1	electronic structure calculation	0.25
1	spin orbit coupling	0.25
1	valence band	1
1	hyperfine field	1
1	analytical result	0.111111111
1	curie temperature	1
1	scanning electron microscopy	0.111111111
1	model hamiltonian	1
1	chemical potential	0.015625
1	low energy	0.004444444
1	formation energy	1
1	transmission electron microscopy	0.111111111
1	coupling strength	0.25
1	experimental measurement	0.04
1	antiferromagnetic order	1
1	local density approximation	0.111111111
1	quantum spin	0.111111111
1	increasing temperature	0.25
1	magnetic field dependence	0.25
1	random phase approximation	0.25
1	theoretical calculation	0.111111111
1	total energy	0.0625
1	experimental stud	0.04
1	wave function	0.027777778
1	attractive interaction	0.111111111
1	magnetization curve	1
1	insulating phase	1
1	different temperature	0.0625
1	different value	0.0625
1	electronic transport	0.111111111
1	ferromagnetic phase	0.25
1	ising model	0.04
1	disordered phase	0.111111111
1	magnetocaloric propert	1
1	quantum rings	1
1	large value	0.25
1	electron electron interaction	1
1	electron phonon interaction	1
1	magnetic phase diagram	1
1	molecular dynamic	0.012345679
1	effective hamiltonian	0.111111111
1	antiferromagnetic phase	1
1	confining potential	0.25
1	present result	0.04
1	correlation function	0.003460208
1	recent experiment	0.111111111
1	antiferromagnetic interaction	0.25
1	honeycomb lattice	1
1	range order	1
1	crystalline structure	0.25
1	maximum value	0.111111111
1	experimental value	0.04
1	local moment	1
1	phenomenological model	0.04
1	liquid phase	0.111111111
1	quantum fluctuation	0.04
1	spin glass	0.25
1	superconducting films	1
1	small value	0.111111111
1	single ion anisotropy	1
1	dynamic propert	0.04
1	electrical conductivity	1
1	localization length	1
1	atomic structure	0.25
1	disordered system	0.111111111
1	effective mass approximation	1
1	specific heat measurement	1
1	strong dependence	0.25
1	neighbor interaction	0.25
1	x ray	0.012345679
1	normal state	1
1	effective field theor	0.0625
1	ray diffraction pattern	1
1	different behavior	1
