SOMA	Label	Weight
1	cross section	0.00047259
1	standard model	0.0625
1	abelian model	1
1	null geodesic	1
1	integrated luminosity	1
1	proton proton	0.111111111
1	mass energy	0.25
1	final state	0.027777778
1	proton proton collision	0.25
1	upper limit	1
1	pp collision	0.111111111
1	large hadron collider	1
1	data sample	0.111111111
1	general relativity	0.25
1	cms detector	1
1	scalar field	0.04
1	standard model prediction	1
1	differential cross section	0.25
1	cms experiment	1
1	higgs boson	1
1	leading order	1
1	standard model expectation	1
1	dark matter	1
1	transverse momentum	0.006944444
1	missing transverse momentum	1
1	using data	0.111111111
1	proton proton collision data	1
1	magnetic field	0.000657462
1	parameter space	0.027777778
1	w boson	1
1	extra dimension	0.25
1	top quark	1
1	lhcb detector	1
1	effective action	0.111111111
1	lhcb experiment	1
1	production cross section	0.111111111
1	dark energy	0.25
1	invariant mass	0.111111111
1	cosmological model	0.111111111
1	quantum field theor	0.111111111
1	effective potential	0.04
1	exclusion limit	1
1	standard deviation	1
1	pair production	0.25
1	energy density	0.04
1	gravitational field	0.0625
1	point function	0.111111111
1	pp collision data	1
1	total cross section	0.25
1	cosmic microwave background	1
1	exact solution	0.25
1	energy momentum tensor	0.25
1	free parameter	0.04
1	supersymmetric particle	1
1	d0 detector	1
1	experimental data	0.015625
1	hadron decay	0.25
1	mass range	0.25
1	standard model background	1
1	electromagnetic field	0.027777778
1	field equation	0.0625
1	bar collision	0.25
1	landau gauge	1
1	spherically symmetric	1
1	gauge field	0.111111111
1	low energy	0.003460208
1	bottom quark	0.25
1	angular momentum	0.111111111
1	distribution function	0.005102041
1	space time	0.015625
1	dimensional spacetime	0.25
1	mass energy root	1
1	lorentz symmetry	1
1	electric field	0.012345679
1	scale factor	1
1	decay mode	0.111111111
1	lambda cdm model	1
1	dark matter particle	1
1	dirac equation	1
1	lhc energ	1
1	phase space	0.020408163
1	standard model process	1
1	top quark decay	1
1	gauge theor	0.111111111
1	perturbation theor	0.027777778
1	top quark pair	1
1	event horizon	1
1	loop order	0.25
1	yang mills theor	1
1	observational data	0.25
1	alice detector	1
1	heavy ion collision	0.25
1	dimensional space time	0.25
1	supersymmetric model	1
1	dark sector	1
1	standard model higgs boson	1
1	top quark mass	1
1	doublet model	1
1	boson decay	1
1	quantum correction	0.111111111
1	event generator	1
1	invariant mass distribution	1
1	massless scalar field	0.25
1	detector effect	1
1	particle multiplicity	0.25
1	transverse momenta	0.0625
1	using event	1
1	fermionic field	0.25
1	boson coupling	1
1	dimensional reduction	0.25
1	dark energy model	1
1	black hole solution	1
1	gluino mass	1
1	neutrino mass	1
1	matter field	0.25
1	decay channel	0.04
1	stringent limit	1
1	standard model extension	1
1	effective field theor	0.111111111
1	real scalar field	1
1	dark matter candidate	1
1	effective theor	0.0625
1	gravity theor	1
1	energy scale	0.25
1	boson production	0.25
1	massive particle	0.25
1	gauge symmetry	1
1	quantum gravity	0.25
1	missing transverse energy	1
1	late time	1
1	data set	0.0625
1	lived particle	1
1	spatial dimension	0.0625
1	sterile neutrino	1
1	quantum number	0.111111111
1	theoretical model	0.020408163
1	beta function	1
1	effective lagrangian	0.25
1	heavy quark	0.0625
1	bar event	1
1	dual model	1
1	boson mass	1
1	quark jet	0.25
1	cosmological parameter	1
1	numerical solution	0.111111111
1	quark pair production	1
1	free energy	0.005102041
1	quantum effect	0.020408163
